s:0 val:11.020364
s:128 val:6.145629
s:256 val:5.299575
s:384 val:4.634401
s:512 val:4.289035
s:640 val:4.100606
s:768 val:4.012794
s:896 val:3.932539
s:1024 val:3.892588
s:1152 val:3.839617
s:1280 val:3.790719
s:1408 val:3.765007
s:1536 val:3.729758
s:1664 val:3.700884
s:1792 val:3.685346
s:1920 val:3.656915
s:2048 val:3.651408
s:2176 val:3.620292
s:2304 val:3.609845
s:2432 val:3.611887
s:2560 val:3.601049
s:2688 val:3.602756
s:2816 val:3.573571
s:2944 val:3.574446
s:3072 val:3.565628
s:3200 val:3.553816
s:3328 val:3.553682
s:3456 val:3.553085
s:3584 val:3.539159
s:3712 val:3.527557
s:3840 val:3.513708
s:3968 val:3.499046
s:4096 val:3.465735
s:4224 val:3.435943
s:4352 val:3.413942
s:4480 val:3.386146
s:4608 val:3.358627
s:4736 val:3.340828
s:4768 val:3.392292
