s:0 val:10.976030
s:128 val:6.013080
s:256 val:5.247866
s:384 val:4.640109
s:512 val:4.299816
s:640 val:4.125951
s:768 val:4.018779
s:896 val:3.949733
s:1024 val:3.896986
s:1152 val:3.845247
s:1280 val:3.802302
s:1408 val:3.772417
s:1536 val:3.743325
s:1664 val:3.719672
s:1792 val:3.701521
s:1920 val:3.666349
s:2048 val:3.668116
s:2176 val:3.647569
s:2304 val:3.630122
s:2432 val:3.623996
s:2560 val:3.616759
s:2688 val:3.614217
s:2816 val:3.588793
s:2944 val:3.588929
s:3072 val:3.581891
s:3200 val:3.564942
s:3328 val:3.566525
s:3456 val:3.567233
s:3584 val:3.550206
s:3712 val:3.546216
s:3840 val:3.528077
s:3968 val:3.514256
s:4096 val:3.479041
s:4224 val:3.455905
s:4352 val:3.428203
s:4480 val:3.402820
s:4608 val:3.374778
s:4736 val:3.356924
s:4768 val:3.388302
