Running pytorch 2.10.0+cu130
using device: cuda:0
tokens per iteration: 524,288
DataLoader: total number of tokens: 5,000,000,000 across 50 files
DataLoader: total number of tokens: 100,000,000 across 1 files
compiling the model...
step:0/4768 | val loss 11.015416
step:0/4768 | loss 11.015647 | train_time:44.01s | step_avg:44011.44ms
step:1/4768 | loss 10.863379 | train_time:48.16s | step_avg:24082.36ms
step:2/4768 | loss 10.602184 | train_time:52.32s | step_avg:17440.99ms
step:3/4768 | loss 10.301913 | train_time:56.49s | step_avg:14121.75ms
step:4/4768 | loss 10.072398 | train_time:60.65s | step_avg:12130.21ms
step:5/4768 | loss 9.871294 | train_time:64.82s | step_avg:10803.20ms
step:6/4768 | loss 9.738017 | train_time:68.99s | step_avg:9855.40ms
step:7/4768 | loss 9.595872 | train_time:73.16s | step_avg:9144.88ms
step:8/4768 | loss 9.556558 | train_time:77.34s | step_avg:8592.83ms
step:9/4768 | loss 9.456173 | train_time:81.49s | step_avg:8149.37ms
step:10/4768 | loss 9.412672 | train_time:85.65s | step_avg:7786.64ms
step:11/4768 | loss 9.359888 | train_time:89.81s | step_avg:7484.20ms
step:12/4768 | loss 9.264761 | train_time:93.97s | step_avg:7228.53ms
step:13/4768 | loss 9.164992 | train_time:98.14s | step_avg:7009.72ms
step:14/4768 | loss 9.095299 | train_time:102.31s | step_avg:6820.51ms
step:15/4768 | loss 9.010042 | train_time:106.44s | step_avg:6652.19ms
step:16/4768 | loss 8.924972 | train_time:110.60s | step_avg:6505.90ms
step:17/4768 | loss 8.821664 | train_time:114.78s | step_avg:6376.93ms
step:18/4768 | loss 8.769311 | train_time:118.96s | step_avg:6261.02ms
step:19/4768 | loss 8.631021 | train_time:123.14s | step_avg:6156.78ms
step:20/4768 | loss 8.539430 | train_time:127.30s | step_avg:6062.06ms
step:21/4768 | loss 8.466166 | train_time:131.47s | step_avg:5975.77ms
step:22/4768 | loss 8.299164 | train_time:135.63s | step_avg:5897.02ms
step:23/4768 | loss 8.253382 | train_time:139.80s | step_avg:5824.80ms
step:24/4768 | loss 8.128107 | train_time:143.97s | step_avg:5758.61ms
step:25/4768 | loss 8.087891 | train_time:148.14s | step_avg:5697.55ms
step:26/4768 | loss 7.991707 | train_time:152.32s | step_avg:5641.36ms
step:27/4768 | loss 7.872553 | train_time:156.50s | step_avg:5589.23ms
step:28/4768 | loss 7.857890 | train_time:160.68s | step_avg:5540.75ms
step:29/4768 | loss 7.778375 | train_time:164.86s | step_avg:5495.29ms
step:30/4768 | loss 7.719003 | train_time:169.03s | step_avg:5452.62ms
step:31/4768 | loss 7.586725 | train_time:173.21s | step_avg:5412.70ms
step:32/4768 | loss 7.559711 | train_time:177.38s | step_avg:5375.14ms
step:33/4768 | loss 7.489800 | train_time:181.56s | step_avg:5340.11ms
step:34/4768 | loss 7.506592 | train_time:185.75s | step_avg:5307.07ms
step:35/4768 | loss 7.414121 | train_time:189.93s | step_avg:5275.82ms
step:36/4768 | loss 7.377386 | train_time:194.12s | step_avg:5246.49ms
step:37/4768 | loss 7.317225 | train_time:198.30s | step_avg:5218.42ms
step:38/4768 | loss 7.327295 | train_time:202.48s | step_avg:5191.74ms
step:39/4768 | loss 7.261717 | train_time:206.65s | step_avg:5166.19ms
step:40/4768 | loss 7.250424 | train_time:210.82s | step_avg:5142.06ms
step:41/4768 | loss 7.191152 | train_time:215.01s | step_avg:5119.35ms
step:42/4768 | loss 7.249908 | train_time:219.19s | step_avg:5097.48ms
step:43/4768 | loss 7.160196 | train_time:223.36s | step_avg:5076.34ms
step:44/4768 | loss 7.160155 | train_time:227.52s | step_avg:5056.09ms
step:45/4768 | loss 7.156157 | train_time:231.69s | step_avg:5036.73ms
step:46/4768 | loss 7.129739 | train_time:235.86s | step_avg:5018.25ms
step:47/4768 | loss 7.118982 | train_time:240.04s | step_avg:5000.82ms
step:48/4768 | loss 7.039447 | train_time:244.22s | step_avg:4984.08ms
step:49/4768 | loss 7.036845 | train_time:248.40s | step_avg:4968.05ms
step:50/4768 | loss 6.962414 | train_time:252.60s | step_avg:4952.95ms
step:51/4768 | loss 6.972069 | train_time:256.78s | step_avg:4938.14ms
step:52/4768 | loss 6.960873 | train_time:260.96s | step_avg:4923.86ms
step:53/4768 | loss 6.927348 | train_time:265.14s | step_avg:4910.09ms
step:54/4768 | loss 6.927116 | train_time:269.33s | step_avg:4896.93ms
step:55/4768 | loss 6.871995 | train_time:273.51s | step_avg:4884.13ms
step:56/4768 | loss 6.822552 | train_time:277.69s | step_avg:4871.82ms
step:57/4768 | loss 6.843850 | train_time:281.88s | step_avg:4859.92ms
step:58/4768 | loss 6.775559 | train_time:286.06s | step_avg:4848.41ms
step:59/4768 | loss 6.782690 | train_time:290.23s | step_avg:4837.24ms
step:60/4768 | loss 6.772816 | train_time:294.41s | step_avg:4826.44ms
step:61/4768 | loss 6.734301 | train_time:298.59s | step_avg:4815.95ms
step:62/4768 | loss 6.704637 | train_time:302.77s | step_avg:4805.81ms
step:63/4768 | loss 6.767232 | train_time:306.95s | step_avg:4796.07ms
step:64/4768 | loss 6.641850 | train_time:311.12s | step_avg:4786.50ms
step:65/4768 | loss 6.666786 | train_time:315.30s | step_avg:4777.22ms
