Running pytorch 2.10.0+cu130
using device: cuda:0
tokens per iteration: 524,288
DataLoader: total number of tokens: 5,000,000,000 across 50 files
DataLoader: total number of tokens: 100,000,000 across 1 files
compiling the model...
step:0/4768 | val loss 10.981994
step:0/4768 | loss 10.978602 | train_time:49.78s | step_avg:49778.10ms
step:1/4768 | loss 10.820377 | train_time:55.00s | step_avg:27498.86ms
step:2/4768 | loss 10.540236 | train_time:60.41s | step_avg:20136.66ms
step:3/4768 | loss 10.242426 | train_time:65.41s | step_avg:16352.72ms
step:4/4768 | loss 10.019886 | train_time:70.60s | step_avg:14120.28ms
step:5/4768 | loss 9.823800 | train_time:75.71s | step_avg:12617.87ms
step:6/4768 | loss 9.697089 | train_time:81.00s | step_avg:11571.86ms
step:7/4768 | loss 9.551426 | train_time:85.91s | step_avg:10738.14ms
step:8/4768 | loss 9.520433 | train_time:91.00s | step_avg:10110.85ms
step:9/4768 | loss 9.417583 | train_time:95.90s | step_avg:9590.30ms
step:10/4768 | loss 9.376575 | train_time:101.10s | step_avg:9190.89ms
step:11/4768 | loss 9.324181 | train_time:106.11s | step_avg:8842.19ms
step:12/4768 | loss 9.228908 | train_time:111.31s | step_avg:8561.96ms
step:13/4768 | loss 9.128467 | train_time:116.50s | step_avg:8321.48ms
step:14/4768 | loss 9.066425 | train_time:121.90s | step_avg:8126.91ms
step:15/4768 | loss 8.984242 | train_time:127.41s | step_avg:7963.02ms
step:16/4768 | loss 8.903749 | train_time:132.59s | step_avg:7799.70ms
step:17/4768 | loss 8.799742 | train_time:137.59s | step_avg:7644.14ms
step:18/4768 | loss 8.758390 | train_time:142.79s | step_avg:7515.35ms
step:19/4768 | loss 8.609544 | train_time:147.79s | step_avg:7389.56ms
step:20/4768 | loss 8.528841 | train_time:152.79s | step_avg:7275.84ms
step:21/4768 | loss 8.461246 | train_time:157.79s | step_avg:7172.44ms
step:22/4768 | loss 8.296342 | train_time:163.09s | step_avg:7090.80ms
step:23/4768 | loss 8.254778 | train_time:167.99s | step_avg:6999.63ms
step:24/4768 | loss 8.123839 | train_time:172.99s | step_avg:6919.57ms
step:25/4768 | loss 8.074034 | train_time:177.99s | step_avg:6845.82ms
step:26/4768 | loss 7.987501 | train_time:182.90s | step_avg:6774.15ms
step:27/4768 | loss 7.876739 | train_time:187.89s | step_avg:6710.34ms
step:28/4768 | loss 7.847836 | train_time:192.81s | step_avg:6648.59ms
step:29/4768 | loss 7.774600 | train_time:197.70s | step_avg:6589.92ms
step:30/4768 | loss 7.712263 | train_time:202.60s | step_avg:6535.63ms
step:31/4768 | loss 7.590285 | train_time:207.69s | step_avg:6490.35ms
step:32/4768 | loss 7.543305 | train_time:212.69s | step_avg:6445.22ms
step:33/4768 | loss 7.483220 | train_time:217.69s | step_avg:6402.68ms
step:34/4768 | loss 7.502104 | train_time:222.90s | step_avg:6368.60ms
step:35/4768 | loss 7.400105 | train_time:228.00s | step_avg:6333.45ms
step:36/4768 | loss 7.372087 | train_time:233.10s | step_avg:6299.94ms
step:37/4768 | loss 7.293339 | train_time:238.20s | step_avg:6268.38ms
step:38/4768 | loss 7.315147 | train_time:243.29s | step_avg:6238.25ms
step:39/4768 | loss 7.235350 | train_time:248.30s | step_avg:6207.40ms
step:40/4768 | loss 7.228372 | train_time:253.80s | step_avg:6190.15ms
step:41/4768 | loss 7.161135 | train_time:258.91s | step_avg:6164.44ms
step:42/4768 | loss 7.220570 | train_time:264.10s | step_avg:6141.79ms
step:43/4768 | loss 7.119841 | train_time:269.09s | step_avg:6115.63ms
step:44/4768 | loss 7.122996 | train_time:274.11s | step_avg:6091.32ms
step:45/4768 | loss 7.098923 | train_time:279.19s | step_avg:6069.44ms
step:46/4768 | loss 7.086543 | train_time:284.70s | step_avg:6057.44ms
step:47/4768 | loss 7.066463 | train_time:289.89s | step_avg:6039.34ms
step:48/4768 | loss 7.005587 | train_time:295.09s | step_avg:6022.22ms
step:49/4768 | loss 6.985122 | train_time:300.29s | step_avg:6005.89ms
step:50/4768 | loss 6.922773 | train_time:305.40s | step_avg:5988.32ms
step:51/4768 | loss 6.937145 | train_time:310.49s | step_avg:5971.00ms
step:52/4768 | loss 6.947189 | train_time:315.40s | step_avg:5951.03ms
step:53/4768 | loss 6.947659 | train_time:320.49s | step_avg:5934.99ms
step:54/4768 | loss 6.899938 | train_time:325.79s | step_avg:5923.48ms
step:55/4768 | loss 6.865664 | train_time:330.80s | step_avg:5907.12ms
step:56/4768 | loss 6.822897 | train_time:335.69s | step_avg:5889.27ms
step:57/4768 | loss 6.861823 | train_time:340.80s | step_avg:5875.87ms
step:58/4768 | loss 6.762509 | train_time:345.40s | step_avg:5854.27ms
step:59/4768 | loss 6.791615 | train_time:350.40s | step_avg:5840.05ms
step:60/4768 | loss 6.763359 | train_time:355.81s | step_avg:5832.88ms
step:61/4768 | loss 6.733364 | train_time:361.00s | step_avg:5822.65ms
step:62/4768 | loss 6.698479 | train_time:366.19s | step_avg:5812.60ms
step:63/4768 | loss 6.763409 | train_time:370.91s | step_avg:5795.42ms
step:64/4768 | loss 6.648108 | train_time:375.90s | step_avg:5783.09ms
step:65/4768 | loss 6.661981 | train_time:380.89s | step_avg:5771.12ms
step:66/4768 | loss 6.663633 | train_time:387.19s | step_avg:5778.97ms
step:67/4768 | loss 6.708173 | train_time:392.30s | step_avg:5769.12ms
step:68/4768 | loss 6.628431 | train_time:397.31s | step_avg:5758.06ms
step:69/4768 | loss 6.610197 | train_time:402.60s | step_avg:5751.43ms
step:70/4768 | loss 6.568776 | train_time:407.51s | step_avg:5739.55ms
step:71/4768 | loss 6.554819 | train_time:412.21s | step_avg:5725.09ms
step:72/4768 | loss 6.574561 | train_time:416.91s | step_avg:5711.09ms
step:73/4768 | loss 6.528573 | train_time:422.01s | step_avg:5702.82ms
step:74/4768 | loss 6.544188 | train_time:426.79s | step_avg:5690.56ms
step:75/4768 | loss 6.497031 | train_time:431.81s | step_avg:5681.70ms
step:76/4768 | loss 6.579169 | train_time:436.50s | step_avg:5668.85ms
step:77/4768 | loss 6.548986 | train_time:441.60s | step_avg:5661.55ms
step:78/4768 | loss 6.308552 | train_time:446.50s | step_avg:5651.93ms
step:79/4768 | loss 6.479537 | train_time:451.50s | step_avg:5643.74ms
step:80/4768 | loss 6.436962 | train_time:456.59s | step_avg:5636.91ms
step:81/4768 | loss 6.551461 | train_time:461.21s | step_avg:5624.50ms
step:82/4768 | loss 6.473239 | train_time:465.99s | step_avg:5614.35ms
