Running pytorch 2.10.0+cu130
using device: cuda:0
tokens per iteration: 524,288
DataLoader: total number of tokens: 5,000,000,000 across 50 files
DataLoader: total number of tokens: 100,000,000 across 1 files
compiling the model...
step:0/4768 | val loss 10.973262
step:0/4768 | loss 10.974139 | train_time:43.55s | step_avg:43552.79ms
step:1/4768 | loss 10.817179 | train_time:47.67s | step_avg:23837.20ms
step:2/4768 | loss 10.553297 | train_time:51.81s | step_avg:17269.35ms
step:3/4768 | loss 10.262017 | train_time:55.96s | step_avg:13989.65ms
step:4/4768 | loss 10.040988 | train_time:60.13s | step_avg:12025.06ms
step:5/4768 | loss 9.847554 | train_time:64.30s | step_avg:10716.36ms
step:6/4768 | loss 9.720577 | train_time:68.46s | step_avg:9780.19ms
step:7/4768 | loss 9.585178 | train_time:72.62s | step_avg:9077.91ms
step:8/4768 | loss 9.539005 | train_time:76.79s | step_avg:8531.68ms
step:9/4768 | loss 9.445539 | train_time:80.95s | step_avg:8094.85ms
step:10/4768 | loss 9.396293 | train_time:85.11s | step_avg:7737.59ms
step:11/4768 | loss 9.341280 | train_time:89.28s | step_avg:7440.15ms
step:12/4768 | loss 9.246829 | train_time:93.46s | step_avg:7189.18ms
step:13/4768 | loss 9.152425 | train_time:97.62s | step_avg:6973.00ms
step:14/4768 | loss 9.082080 | train_time:101.79s | step_avg:6786.31ms
step:15/4768 | loss 8.995678 | train_time:105.97s | step_avg:6622.99ms
step:16/4768 | loss 8.906837 | train_time:110.14s | step_avg:6478.72ms
step:17/4768 | loss 8.815026 | train_time:114.30s | step_avg:6350.12ms
step:18/4768 | loss 8.750131 | train_time:118.46s | step_avg:6234.57ms
step:19/4768 | loss 8.622874 | train_time:122.61s | step_avg:6130.49ms
step:20/4768 | loss 8.532748 | train_time:126.77s | step_avg:6036.69ms
step:21/4768 | loss 8.455742 | train_time:130.93s | step_avg:5951.29ms
step:22/4768 | loss 8.295218 | train_time:135.10s | step_avg:5873.94ms
step:23/4768 | loss 8.250639 | train_time:139.27s | step_avg:5803.12ms
step:24/4768 | loss 8.124109 | train_time:143.46s | step_avg:5738.25ms
step:25/4768 | loss 8.076246 | train_time:147.63s | step_avg:5677.95ms
step:26/4768 | loss 8.000963 | train_time:151.74s | step_avg:5620.08ms
step:27/4768 | loss 7.885419 | train_time:155.89s | step_avg:5567.53ms
step:28/4768 | loss 7.848492 | train_time:160.06s | step_avg:5519.47ms
step:29/4768 | loss 7.788289 | train_time:164.23s | step_avg:5474.36ms
step:30/4768 | loss 7.717781 | train_time:168.40s | step_avg:5432.38ms
step:31/4768 | loss 7.597131 | train_time:172.58s | step_avg:5393.20ms
step:32/4768 | loss 7.556751 | train_time:176.76s | step_avg:5356.25ms
step:33/4768 | loss 7.487358 | train_time:180.93s | step_avg:5321.49ms
step:34/4768 | loss 7.509110 | train_time:185.10s | step_avg:5288.55ms
step:35/4768 | loss 7.419518 | train_time:189.27s | step_avg:5257.52ms
step:36/4768 | loss 7.383141 | train_time:193.46s | step_avg:5228.52ms
step:37/4768 | loss 7.322883 | train_time:197.64s | step_avg:5201.01ms
step:38/4768 | loss 7.347187 | train_time:201.81s | step_avg:5174.68ms
step:39/4768 | loss 7.285271 | train_time:205.99s | step_avg:5149.76ms
step:40/4768 | loss 7.265787 | train_time:210.17s | step_avg:5126.06ms
step:41/4768 | loss 7.205212 | train_time:214.35s | step_avg:5103.54ms
step:42/4768 | loss 7.245868 | train_time:218.53s | step_avg:5082.12ms
step:43/4768 | loss 7.162883 | train_time:222.71s | step_avg:5061.66ms
step:44/4768 | loss 7.142544 | train_time:226.90s | step_avg:5042.15ms
step:45/4768 | loss 7.129816 | train_time:231.09s | step_avg:5023.66ms
step:46/4768 | loss 7.121329 | train_time:235.27s | step_avg:5005.67ms
step:47/4768 | loss 7.122889 | train_time:239.44s | step_avg:4988.43ms
step:48/4768 | loss 7.064106 | train_time:243.63s | step_avg:4971.99ms
step:49/4768 | loss 7.057554 | train_time:247.81s | step_avg:4956.23ms
step:50/4768 | loss 6.974404 | train_time:252.00s | step_avg:4941.08ms
step:51/4768 | loss 6.975574 | train_time:256.18s | step_avg:4926.49ms
step:52/4768 | loss 6.972110 | train_time:260.36s | step_avg:4912.42ms
step:53/4768 | loss 6.946194 | train_time:264.56s | step_avg:4899.17ms
step:54/4768 | loss 6.924265 | train_time:268.73s | step_avg:4886.08ms
step:55/4768 | loss 6.857802 | train_time:272.92s | step_avg:4873.49ms
step:56/4768 | loss 6.829646 | train_time:277.09s | step_avg:4861.30ms
step:57/4768 | loss 6.855396 | train_time:281.27s | step_avg:4849.54ms
step:58/4768 | loss 6.766807 | train_time:285.46s | step_avg:4838.23ms
step:59/4768 | loss 6.793283 | train_time:289.63s | step_avg:4827.24ms
step:60/4768 | loss 6.774213 | train_time:293.81s | step_avg:4816.58ms
step:61/4768 | loss 6.728786 | train_time:298.00s | step_avg:4806.41ms
step:62/4768 | loss 6.715858 | train_time:302.18s | step_avg:4796.52ms
step:63/4768 | loss 6.780787 | train_time:306.37s | step_avg:4786.99ms
step:64/4768 | loss 6.670143 | train_time:310.56s | step_avg:4777.81ms
step:65/4768 | loss 6.688087 | train_time:314.74s | step_avg:4768.83ms
step:66/4768 | loss 6.675249 | train_time:318.92s | step_avg:4760.04ms
step:67/4768 | loss 6.729578 | train_time:323.10s | step_avg:4751.53ms
step:68/4768 | loss 6.640787 | train_time:327.29s | step_avg:4743.27ms
step:69/4768 | loss 6.621507 | train_time:331.49s | step_avg:4735.50ms
step:70/4768 | loss 6.589628 | train_time:335.67s | step_avg:4727.68ms
step:71/4768 | loss 6.566624 | train_time:339.85s | step_avg:4720.20ms
