Running pytorch 2.10.0+cu130
using device: cuda:0
tokens per iteration: 524,288
DataLoader: total number of tokens: 5,000,000,000 across 50 files
DataLoader: total number of tokens: 100,000,000 across 1 files
compiling the model...
step:0/4768 | val loss 10.987924 | best_candidate:current
step:0/4768 | loss 10.982743 | train_time:46.35s | step_avg:46346.44ms
step:1/4768 | loss 10.835728 | train_time:51.21s | step_avg:25604.70ms
step:2/4768 | loss 10.579262 | train_time:55.82s | step_avg:18605.92ms
step:3/4768 | loss 10.288702 | train_time:60.82s | step_avg:15203.94ms
step:4/4768 | loss 10.066966 | train_time:65.80s | step_avg:13160.12ms
step:5/4768 | loss 9.872139 | train_time:70.50s | step_avg:11750.83ms
step:6/4768 | loss 9.736875 | train_time:75.22s | step_avg:10745.05ms
step:7/4768 | loss 9.598097 | train_time:80.01s | step_avg:10001.10ms
step:8/4768 | loss 9.566271 | train_time:84.91s | step_avg:9434.92ms
step:9/4768 | loss 9.471400 | train_time:89.81s | step_avg:8981.03ms
step:10/4768 | loss 9.426893 | train_time:94.63s | step_avg:8602.89ms
step:11/4768 | loss 9.375134 | train_time:99.41s | step_avg:8284.28ms
step:12/4768 | loss 9.275537 | train_time:104.31s | step_avg:8023.54ms
step:13/4768 | loss 9.176426 | train_time:109.12s | step_avg:7793.95ms
step:14/4768 | loss 9.113179 | train_time:113.81s | step_avg:7587.11ms
step:15/4768 | loss 9.033277 | train_time:118.65s | step_avg:7415.39ms
step:16/4768 | loss 8.953652 | train_time:123.41s | step_avg:7259.24ms
step:17/4768 | loss 8.854047 | train_time:128.12s | step_avg:7117.55ms
step:18/4768 | loss 8.795064 | train_time:132.91s | step_avg:6995.18ms
step:19/4768 | loss 8.661112 | train_time:138.03s | step_avg:6901.31ms
step:20/4768 | loss 8.570219 | train_time:143.02s | step_avg:6810.32ms
step:21/4768 | loss 8.501994 | train_time:147.80s | step_avg:6718.18ms
step:22/4768 | loss 8.336173 | train_time:152.75s | step_avg:6641.35ms
step:23/4768 | loss 8.292462 | train_time:157.72s | step_avg:6571.55ms
step:24/4768 | loss 8.170162 | train_time:162.61s | step_avg:6504.48ms
step:25/4768 | loss 8.122238 | train_time:167.51s | step_avg:6442.85ms
step:26/4768 | loss 8.027770 | train_time:173.38s | step_avg:6421.32ms
step:27/4768 | loss 7.907609 | train_time:178.01s | step_avg:6357.54ms
step:28/4768 | loss 7.893696 | train_time:182.81s | step_avg:6303.82ms
step:29/4768 | loss 7.815125 | train_time:187.61s | step_avg:6253.52ms
step:30/4768 | loss 7.748723 | train_time:192.42s | step_avg:6207.10ms
step:31/4768 | loss 7.618651 | train_time:197.31s | step_avg:6165.82ms
step:32/4768 | loss 7.577657 | train_time:202.31s | step_avg:6130.55ms
step:33/4768 | loss 7.510659 | train_time:207.11s | step_avg:6091.35ms
step:34/4768 | loss 7.518573 | train_time:211.83s | step_avg:6052.38ms
step:35/4768 | loss 7.424176 | train_time:216.61s | step_avg:6016.95ms
step:36/4768 | loss 7.384401 | train_time:221.44s | step_avg:5984.81ms
step:37/4768 | loss 7.316521 | train_time:226.31s | step_avg:5955.41ms
step:38/4768 | loss 7.325621 | train_time:231.11s | step_avg:5925.83ms
step:39/4768 | loss 7.255350 | train_time:236.11s | step_avg:5902.87ms
step:40/4768 | loss 7.246332 | train_time:241.21s | step_avg:5883.10ms
step:41/4768 | loss 7.190063 | train_time:246.21s | step_avg:5862.11ms
step:42/4768 | loss 7.228424 | train_time:251.11s | step_avg:5839.68ms
step:43/4768 | loss 7.128251 | train_time:256.00s | step_avg:5818.25ms
step:44/4768 | loss 7.116011 | train_time:260.81s | step_avg:5795.72ms
step:45/4768 | loss 7.114428 | train_time:265.60s | step_avg:5773.96ms
step:46/4768 | loss 7.093958 | train_time:270.70s | step_avg:5759.62ms
step:47/4768 | loss 7.079897 | train_time:275.51s | step_avg:5739.79ms
step:48/4768 | loss 7.016254 | train_time:280.30s | step_avg:5720.49ms
step:49/4768 | loss 7.002150 | train_time:285.11s | step_avg:5702.18ms
step:50/4768 | loss 6.930851 | train_time:290.46s | step_avg:5695.23ms
step:51/4768 | loss 6.952036 | train_time:296.59s | step_avg:5703.64ms
step:52/4768 | loss 6.965276 | train_time:302.42s | step_avg:5706.02ms
step:53/4768 | loss 6.971763 | train_time:307.15s | step_avg:5687.90ms
step:54/4768 | loss 6.976334 | train_time:311.81s | step_avg:5669.31ms
step:55/4768 | loss 6.912470 | train_time:316.51s | step_avg:5651.99ms
step:56/4768 | loss 6.863308 | train_time:321.31s | step_avg:5636.98ms
step:57/4768 | loss 6.872022 | train_time:326.29s | step_avg:5625.66ms
step:58/4768 | loss 6.794230 | train_time:331.35s | step_avg:5616.14ms
step:59/4768 | loss 6.809139 | train_time:336.22s | step_avg:5603.60ms
step:60/4768 | loss 6.798249 | train_time:341.03s | step_avg:5590.62ms
step:61/4768 | loss 6.753158 | train_time:345.92s | step_avg:5579.33ms
step:62/4768 | loss 6.728143 | train_time:350.64s | step_avg:5565.66ms
step:63/4768 | loss 6.793364 | train_time:355.51s | step_avg:5554.90ms
step:64/4768 | loss 6.668463 | train_time:360.51s | step_avg:5546.30ms
step:65/4768 | loss 6.690151 | train_time:365.55s | step_avg:5538.64ms
step:66/4768 | loss 6.683952 | train_time:370.21s | step_avg:5525.58ms
step:67/4768 | loss 6.721330 | train_time:375.06s | step_avg:5515.56ms
step:68/4768 | loss 6.652437 | train_time:380.01s | step_avg:5507.44ms
step:69/4768 | loss 6.635456 | train_time:384.81s | step_avg:5497.24ms
step:70/4768 | loss 6.602364 | train_time:389.61s | step_avg:5487.45ms
step:71/4768 | loss 6.580635 | train_time:394.31s | step_avg:5476.54ms
step:72/4768 | loss 6.591915 | train_time:399.10s | step_avg:5467.09ms
step:73/4768 | loss 6.545499 | train_time:404.01s | step_avg:5459.54ms
step:74/4768 | loss 6.562920 | train_time:408.81s | step_avg:5450.81ms
step:75/4768 | loss 6.512383 | train_time:413.71s | step_avg:5443.55ms
step:76/4768 | loss 6.581333 | train_time:418.60s | step_avg:5436.39ms
step:77/4768 | loss 6.534526 | train_time:423.52s | step_avg:5429.70ms
step:78/4768 | loss 6.294568 | train_time:428.22s | step_avg:5420.45ms
step:79/4768 | loss 6.463971 | train_time:433.01s | step_avg:5412.64ms
step:80/4768 | loss 6.428886 | train_time:437.91s | step_avg:5406.29ms
step:81/4768 | loss 6.532310 | train_time:442.71s | step_avg:5398.92ms
step:82/4768 | loss 6.472770 | train_time:447.51s | step_avg:5391.64ms
step:83/4768 | loss 6.435101 | train_time:452.31s | step_avg:5384.60ms
step:84/4768 | loss 6.404239 | train_time:457.21s | step_avg:5379.00ms
step:85/4768 | loss 6.379727 | train_time:462.02s | step_avg:5372.28ms
step:86/4768 | loss 6.382718 | train_time:466.80s | step_avg:5365.56ms
step:87/4768 | loss 6.341978 | train_time:471.60s | step_avg:5359.10ms
step:88/4768 | loss 6.361038 | train_time:476.40s | step_avg:5352.86ms
step:89/4768 | loss 6.317322 | train_time:481.31s | step_avg:5347.93ms
step:90/4768 | loss 6.367707 | train_time:486.02s | step_avg:5340.90ms
step:91/4768 | loss 6.388291 | train_time:490.72s | step_avg:5333.88ms
step:92/4768 | loss 6.411035 | train_time:495.65s | step_avg:5329.55ms
step:93/4768 | loss 6.341115 | train_time:500.65s | step_avg:5326.04ms
step:94/4768 | loss 6.303566 | train_time:505.44s | step_avg:5320.45ms
step:95/4768 | loss 6.267346 | train_time:510.11s | step_avg:5313.66ms
step:96/4768 | loss 6.355540 | train_time:514.84s | step_avg:5307.59ms
step:97/4768 | loss 6.295605 | train_time:519.51s | step_avg:5301.16ms
step:98/4768 | loss 6.266263 | train_time:524.31s | step_avg:5296.05ms
step:99/4768 | loss 6.232231 | train_time:529.26s | step_avg:5292.59ms
step:100/4768 | loss 6.255934 | train_time:534.70s | step_avg:5294.10ms
step:101/4768 | loss 6.187239 | train_time:539.41s | step_avg:5288.36ms
step:102/4768 | loss 6.196431 | train_time:544.21s | step_avg:5283.57ms
step:103/4768 | loss 6.193659 | train_time:549.01s | step_avg:5278.92ms
step:104/4768 | loss 6.202930 | train_time:553.81s | step_avg:5274.39ms
step:105/4768 | loss 6.246376 | train_time:558.62s | step_avg:5269.97ms
step:106/4768 | loss 6.197972 | train_time:563.56s | step_avg:5266.94ms
step:107/4768 | loss 6.132306 | train_time:568.41s | step_avg:5263.02ms
step:108/4768 | loss 6.168190 | train_time:573.15s | step_avg:5258.27ms
step:109/4768 | loss 6.209220 | train_time:577.81s | step_avg:5252.81ms
step:110/4768 | loss 6.151610 | train_time:582.54s | step_avg:5248.08ms
step:111/4768 | loss 6.171232 | train_time:587.21s | step_avg:5242.99ms
