Running pytorch 2.10.0+cu130
using device: cuda:0
tokens per iteration: 524,288
DataLoader: total number of tokens: 5,000,000,000 across 50 files
DataLoader: total number of tokens: 100,000,000 across 1 files
compiling the model...
step:0/4768 | val loss 10.965753
step:0/4768 | loss 10.968904 | train_time:45.62s | step_avg:45615.76ms
step:1/4768 | loss 10.813874 | train_time:50.50s | step_avg:25252.07ms
step:2/4768 | loss 10.546012 | train_time:55.29s | step_avg:18429.56ms
step:3/4768 | loss 10.247910 | train_time:60.09s | step_avg:15022.93ms
step:4/4768 | loss 10.025038 | train_time:64.79s | step_avg:12957.00ms
step:5/4768 | loss 9.836391 | train_time:69.59s | step_avg:11598.64ms
step:6/4768 | loss 9.720559 | train_time:74.40s | step_avg:10628.28ms
step:7/4768 | loss 9.580564 | train_time:79.10s | step_avg:9886.97ms
step:8/4768 | loss 9.556517 | train_time:83.90s | step_avg:9322.42ms
step:9/4768 | loss 9.470529 | train_time:88.71s | step_avg:8870.71ms
step:10/4768 | loss 9.421091 | train_time:93.30s | step_avg:8481.48ms
step:11/4768 | loss 9.371730 | train_time:98.09s | step_avg:8174.28ms
step:12/4768 | loss 9.275608 | train_time:102.89s | step_avg:7914.90ms
step:13/4768 | loss 9.173410 | train_time:107.59s | step_avg:7684.74ms
step:14/4768 | loss 9.105371 | train_time:112.39s | step_avg:7492.46ms
step:15/4768 | loss 9.027933 | train_time:117.08s | step_avg:7317.71ms
step:16/4768 | loss 8.942880 | train_time:121.69s | step_avg:7158.04ms
step:17/4768 | loss 8.843876 | train_time:126.20s | step_avg:7011.27ms
step:18/4768 | loss 8.782532 | train_time:130.80s | step_avg:6884.35ms
step:19/4768 | loss 8.647402 | train_time:136.10s | step_avg:6804.96ms
step:20/4768 | loss 8.566608 | train_time:140.89s | step_avg:6708.88ms
step:21/4768 | loss 8.494860 | train_time:145.50s | step_avg:6613.45ms
step:22/4768 | loss 8.331411 | train_time:150.19s | step_avg:6530.13ms
step:23/4768 | loss 8.282502 | train_time:154.89s | step_avg:6453.56ms
step:24/4768 | loss 8.154771 | train_time:159.58s | step_avg:6383.33ms
step:25/4768 | loss 8.108970 | train_time:164.29s | step_avg:6318.72ms
step:26/4768 | loss 8.022355 | train_time:168.99s | step_avg:6258.80ms
step:27/4768 | loss 7.924882 | train_time:173.69s | step_avg:6203.32ms
step:28/4768 | loss 7.874206 | train_time:178.49s | step_avg:6154.77ms
step:29/4768 | loss 7.834671 | train_time:183.30s | step_avg:6109.85ms
step:30/4768 | loss 7.746908 | train_time:188.00s | step_avg:6064.61ms
step:31/4768 | loss 7.631904 | train_time:192.70s | step_avg:6021.82ms
step:32/4768 | loss 7.577410 | train_time:197.39s | step_avg:5981.40ms
step:33/4768 | loss 7.530498 | train_time:201.99s | step_avg:5941.02ms
step:34/4768 | loss 7.524383 | train_time:206.90s | step_avg:5911.31ms
step:35/4768 | loss 7.444190 | train_time:211.70s | step_avg:5880.45ms
step:36/4768 | loss 7.393655 | train_time:216.40s | step_avg:5848.61ms
step:37/4768 | loss 7.329656 | train_time:221.18s | step_avg:5820.61ms
step:38/4768 | loss 7.343321 | train_time:225.89s | step_avg:5791.97ms
step:39/4768 | loss 7.264272 | train_time:230.49s | step_avg:5762.22ms
step:40/4768 | loss 7.258111 | train_time:235.50s | step_avg:5743.78ms
step:41/4768 | loss 7.185618 | train_time:240.49s | step_avg:5726.05ms
step:42/4768 | loss 7.228417 | train_time:245.19s | step_avg:5702.14ms
