Running pytorch 2.10.0+cu130
using device: cuda:0
tokens per iteration: 524,288
DataLoader: total number of tokens: 5,000,000,000 across 50 files
DataLoader: total number of tokens: 100,000,000 across 1 files
compiling the model...
step:0/4768 | val loss 11.009663
step:0/4768 | loss 11.010969 | train_time:41.77s | step_avg:41768.27ms
step:1/4768 | loss 10.856417 | train_time:45.90s | step_avg:22952.37ms
step:2/4768 | loss 10.600096 | train_time:50.06s | step_avg:16685.21ms
step:3/4768 | loss 10.295303 | train_time:54.22s | step_avg:13554.81ms
step:4/4768 | loss 10.060666 | train_time:58.39s | step_avg:11677.68ms
step:5/4768 | loss 9.851722 | train_time:62.56s | step_avg:10427.02ms
step:6/4768 | loss 9.727451 | train_time:66.73s | step_avg:9533.50ms
step:7/4768 | loss 9.584784 | train_time:70.91s | step_avg:8863.82ms
step:8/4768 | loss 9.551364 | train_time:75.08s | step_avg:8341.88ms
step:9/4768 | loss 9.442894 | train_time:79.24s | step_avg:7924.46ms
step:10/4768 | loss 9.393929 | train_time:83.42s | step_avg:7583.69ms
step:11/4768 | loss 9.332960 | train_time:87.58s | step_avg:7298.30ms
step:12/4768 | loss 9.244598 | train_time:91.71s | step_avg:7054.50ms
step:13/4768 | loss 9.140745 | train_time:95.87s | step_avg:6847.74ms
step:14/4768 | loss 9.079050 | train_time:100.04s | step_avg:6669.37ms
step:15/4768 | loss 8.985995 | train_time:104.23s | step_avg:6514.10ms
step:16/4768 | loss 8.908502 | train_time:108.39s | step_avg:6376.11ms
step:17/4768 | loss 8.809524 | train_time:112.56s | step_avg:6253.46ms
step:18/4768 | loss 8.757789 | train_time:116.72s | step_avg:6143.26ms
step:19/4768 | loss 8.618887 | train_time:120.89s | step_avg:6044.68ms
step:20/4768 | loss 8.535176 | train_time:125.06s | step_avg:5955.40ms
step:21/4768 | loss 8.460729 | train_time:129.24s | step_avg:5874.40ms
step:22/4768 | loss 8.300279 | train_time:133.41s | step_avg:5800.42ms
step:23/4768 | loss 8.253627 | train_time:137.60s | step_avg:5733.54ms
step:24/4768 | loss 8.129564 | train_time:141.78s | step_avg:5671.07ms
step:25/4768 | loss 8.071175 | train_time:145.95s | step_avg:5613.36ms
step:26/4768 | loss 7.977115 | train_time:150.12s | step_avg:5559.82ms
step:27/4768 | loss 7.862354 | train_time:154.28s | step_avg:5510.10ms
step:28/4768 | loss 7.840981 | train_time:158.45s | step_avg:5463.79ms
step:29/4768 | loss 7.773225 | train_time:162.62s | step_avg:5420.52ms
step:30/4768 | loss 7.699214 | train_time:166.78s | step_avg:5380.01ms
step:31/4768 | loss 7.570941 | train_time:170.95s | step_avg:5342.17ms
step:32/4768 | loss 7.539755 | train_time:175.11s | step_avg:5306.51ms
step:33/4768 | loss 7.466491 | train_time:179.29s | step_avg:5273.15ms
step:34/4768 | loss 7.482115 | train_time:183.46s | step_avg:5241.70ms
step:35/4768 | loss 7.392320 | train_time:187.63s | step_avg:5211.99ms
step:36/4768 | loss 7.354822 | train_time:191.80s | step_avg:5183.83ms
step:37/4768 | loss 7.288640 | train_time:195.97s | step_avg:5157.05ms
step:38/4768 | loss 7.325756 | train_time:200.13s | step_avg:5131.66ms
step:39/4768 | loss 7.294707 | train_time:204.31s | step_avg:5107.63ms
step:40/4768 | loss 7.282372 | train_time:208.48s | step_avg:5084.78ms
step:41/4768 | loss 7.197297 | train_time:212.65s | step_avg:5063.12ms
step:42/4768 | loss 7.238773 | train_time:216.82s | step_avg:5042.43ms
step:43/4768 | loss 7.150284 | train_time:221.00s | step_avg:5022.83ms
step:44/4768 | loss 7.144228 | train_time:225.19s | step_avg:5004.13ms
step:45/4768 | loss 7.138267 | train_time:229.37s | step_avg:4986.34ms
