Running pytorch 2.10.0+cu130
using device: cuda:0
tokens per iteration: 524,288
DataLoader: total number of tokens: 5,000,000,000 across 50 files
DataLoader: total number of tokens: 100,000,000 across 1 files
compiling the model...
step:0/4768 | val loss 10.949701
step:0/4768 | loss 10.952143 | train_time:46.44s | step_avg:46441.40ms
step:1/4768 | loss 10.800734 | train_time:51.22s | step_avg:25608.82ms
step:2/4768 | loss 10.544124 | train_time:56.32s | step_avg:18772.84ms
step:3/4768 | loss 10.259491 | train_time:61.13s | step_avg:15283.44ms
step:4/4768 | loss 10.042371 | train_time:65.92s | step_avg:13183.54ms
step:5/4768 | loss 9.848492 | train_time:70.62s | step_avg:11769.70ms
step:6/4768 | loss 9.717184 | train_time:75.23s | step_avg:10746.64ms
step:7/4768 | loss 9.575160 | train_time:80.12s | step_avg:10014.71ms
step:8/4768 | loss 9.546175 | train_time:84.74s | step_avg:9415.03ms
step:9/4768 | loss 9.439553 | train_time:89.34s | step_avg:8933.71ms
step:10/4768 | loss 9.400952 | train_time:94.12s | step_avg:8556.43ms
step:11/4768 | loss 9.340096 | train_time:98.73s | step_avg:8227.68ms
step:12/4768 | loss 9.246543 | train_time:103.24s | step_avg:7941.44ms
step:13/4768 | loss 9.151218 | train_time:108.02s | step_avg:7715.90ms
step:14/4768 | loss 9.090031 | train_time:112.82s | step_avg:7521.46ms
step:15/4768 | loss 9.002993 | train_time:117.62s | step_avg:7351.11ms
step:16/4768 | loss 8.923574 | train_time:122.23s | step_avg:7190.22ms
step:17/4768 | loss 8.824527 | train_time:126.94s | step_avg:7052.10ms
step:18/4768 | loss 8.778696 | train_time:131.64s | step_avg:6928.28ms
step:19/4768 | loss 8.635593 | train_time:136.43s | step_avg:6821.35ms
step:20/4768 | loss 8.551128 | train_time:141.04s | step_avg:6716.02ms
step:21/4768 | loss 8.482832 | train_time:145.73s | step_avg:6623.99ms
step:22/4768 | loss 8.313269 | train_time:150.63s | step_avg:6549.12ms
step:23/4768 | loss 8.269670 | train_time:155.32s | step_avg:6471.74ms
step:24/4768 | loss 8.144653 | train_time:159.94s | step_avg:6397.53ms
step:25/4768 | loss 8.089518 | train_time:164.64s | step_avg:6332.17ms
step:26/4768 | loss 8.002573 | train_time:169.33s | step_avg:6271.62ms
step:27/4768 | loss 7.889245 | train_time:174.12s | step_avg:6218.49ms
