Running pytorch 2.10.0+cu130
using device: cuda:0
tokens per iteration: 524,288
DataLoader: total number of tokens: 5,000,000,000 across 50 files
DataLoader: total number of tokens: 100,000,000 across 1 files
compiling the model...
step:0/4768 | val loss 10.976784
step:0/4768 | loss 10.973743 | train_time:42.15s | step_avg:42149.83ms
step:1/4768 | loss 10.826204 | train_time:46.28s | step_avg:23141.45ms
step:2/4768 | loss 10.563125 | train_time:50.43s | step_avg:16808.55ms
step:3/4768 | loss 10.259673 | train_time:54.57s | step_avg:13642.80ms
step:4/4768 | loss 10.031589 | train_time:58.72s | step_avg:11743.17ms
step:5/4768 | loss 9.825294 | train_time:62.87s | step_avg:10478.59ms
step:6/4768 | loss 9.693073 | train_time:67.02s | step_avg:9573.77ms
step:7/4768 | loss 9.547263 | train_time:71.18s | step_avg:8896.92ms
step:8/4768 | loss 9.521351 | train_time:75.33s | step_avg:8370.34ms
step:9/4768 | loss 9.418007 | train_time:79.50s | step_avg:7949.77ms
step:10/4768 | loss 9.378570 | train_time:83.66s | step_avg:7605.15ms
step:11/4768 | loss 9.319611 | train_time:87.81s | step_avg:7317.39ms
step:12/4768 | loss 9.227752 | train_time:91.96s | step_avg:7073.95ms
step:13/4768 | loss 9.122019 | train_time:96.12s | step_avg:6865.72ms
step:14/4768 | loss 9.060826 | train_time:100.28s | step_avg:6685.58ms
step:15/4768 | loss 8.969774 | train_time:104.45s | step_avg:6528.08ms
step:16/4768 | loss 8.893188 | train_time:108.62s | step_avg:6389.41ms
step:17/4768 | loss 8.797086 | train_time:112.79s | step_avg:6265.99ms
step:18/4768 | loss 8.744514 | train_time:116.95s | step_avg:6155.46ms
step:19/4768 | loss 8.610073 | train_time:121.12s | step_avg:6055.85ms
step:20/4768 | loss 8.526549 | train_time:125.28s | step_avg:5965.72ms
step:21/4768 | loss 8.454783 | train_time:129.44s | step_avg:5883.84ms
step:22/4768 | loss 8.293700 | train_time:133.61s | step_avg:5808.93ms
step:23/4768 | loss 8.245264 | train_time:137.77s | step_avg:5740.51ms
step:24/4768 | loss 8.123002 | train_time:141.94s | step_avg:5677.45ms
step:25/4768 | loss 8.076433 | train_time:146.10s | step_avg:5619.30ms
step:26/4768 | loss 7.990304 | train_time:150.27s | step_avg:5565.57ms
step:27/4768 | loss 7.863997 | train_time:154.44s | step_avg:5515.59ms
step:28/4768 | loss 7.858740 | train_time:158.60s | step_avg:5468.91ms
step:29/4768 | loss 7.778862 | train_time:162.76s | step_avg:5425.34ms
step:30/4768 | loss 7.713322 | train_time:166.92s | step_avg:5384.38ms
step:31/4768 | loss 7.579818 | train_time:171.07s | step_avg:5346.08ms
step:32/4768 | loss 7.553830 | train_time:175.24s | step_avg:5310.41ms
