Running pytorch 2.10.0+cu130
using device: cuda:0
tokens per iteration: 524,288
DataLoader: total number of tokens: 5,000,000,000 across 50 files
DataLoader: total number of tokens: 100,000,000 across 1 files
compiling the model...
step:0/4768 | val loss 11.002891
step:0/4768 | loss 10.999323 | train_time:43.03s | step_avg:43030.43ms
step:1/4768 | loss 10.856710 | train_time:47.16s | step_avg:23579.65ms
step:2/4768 | loss 10.587669 | train_time:51.31s | step_avg:17102.05ms
step:3/4768 | loss 10.288548 | train_time:55.46s | step_avg:13864.03ms
step:4/4768 | loss 10.055304 | train_time:59.61s | step_avg:11922.62ms
step:5/4768 | loss 9.854221 | train_time:63.77s | step_avg:10628.41ms
step:6/4768 | loss 9.722787 | train_time:67.93s | step_avg:9703.86ms
step:7/4768 | loss 9.583542 | train_time:72.08s | step_avg:9010.51ms
step:8/4768 | loss 9.545619 | train_time:76.25s | step_avg:8471.86ms
step:9/4768 | loss 9.445491 | train_time:80.41s | step_avg:8040.63ms
step:10/4768 | loss 9.400538 | train_time:84.57s | step_avg:7687.86ms
step:11/4768 | loss 9.343623 | train_time:88.72s | step_avg:7393.43ms
step:12/4768 | loss 9.251284 | train_time:92.88s | step_avg:7144.84ms
step:13/4768 | loss 9.149352 | train_time:97.05s | step_avg:6932.19ms
step:14/4768 | loss 9.088761 | train_time:101.22s | step_avg:6747.85ms
step:15/4768 | loss 8.999346 | train_time:105.39s | step_avg:6586.64ms
step:16/4768 | loss 8.916352 | train_time:109.52s | step_avg:6442.31ms
step:17/4768 | loss 8.819755 | train_time:113.66s | step_avg:6314.25ms
step:18/4768 | loss 8.765940 | train_time:117.82s | step_avg:6201.17ms
step:19/4768 | loss 8.621887 | train_time:121.99s | step_avg:6099.49ms
step:20/4768 | loss 8.538068 | train_time:126.16s | step_avg:6007.38ms
step:21/4768 | loss 8.463384 | train_time:130.32s | step_avg:5923.48ms
step:22/4768 | loss 8.299842 | train_time:134.48s | step_avg:5847.01ms
step:23/4768 | loss 8.254275 | train_time:138.64s | step_avg:5776.87ms
step:24/4768 | loss 8.126607 | train_time:142.80s | step_avg:5712.17ms
step:25/4768 | loss 8.078367 | train_time:146.97s | step_avg:5652.55ms
step:26/4768 | loss 7.990582 | train_time:151.13s | step_avg:5597.45ms
step:27/4768 | loss 7.863554 | train_time:155.29s | step_avg:5546.06ms
step:28/4768 | loss 7.845142 | train_time:159.45s | step_avg:5498.13ms
step:29/4768 | loss 7.782429 | train_time:163.60s | step_avg:5453.38ms
step:30/4768 | loss 7.701858 | train_time:167.76s | step_avg:5411.50ms
step:31/4768 | loss 7.584510 | train_time:171.92s | step_avg:5372.41ms
step:32/4768 | loss 7.545448 | train_time:176.08s | step_avg:5335.64ms
step:33/4768 | loss 7.478971 | train_time:180.24s | step_avg:5301.05ms
step:34/4768 | loss 7.502531 | train_time:184.41s | step_avg:5268.72ms
step:35/4768 | loss 7.401804 | train_time:188.58s | step_avg:5238.39ms
step:36/4768 | loss 7.373263 | train_time:192.76s | step_avg:5209.60ms
step:37/4768 | loss 7.302378 | train_time:196.93s | step_avg:5182.34ms
step:38/4768 | loss 7.328112 | train_time:201.09s | step_avg:5156.25ms
step:39/4768 | loss 7.254660 | train_time:205.26s | step_avg:5131.54ms
step:40/4768 | loss 7.247198 | train_time:209.43s | step_avg:5108.00ms
step:41/4768 | loss 7.178438 | train_time:213.59s | step_avg:5085.46ms
step:42/4768 | loss 7.229915 | train_time:217.75s | step_avg:5063.91ms
step:43/4768 | loss 7.133183 | train_time:221.90s | step_avg:5043.29ms
step:44/4768 | loss 7.112658 | train_time:226.06s | step_avg:5023.58ms
step:45/4768 | loss 7.119874 | train_time:230.23s | step_avg:5005.01ms
step:46/4768 | loss 7.103784 | train_time:234.41s | step_avg:4987.34ms
step:47/4768 | loss 7.100960 | train_time:238.58s | step_avg:4970.49ms
step:48/4768 | loss 7.021509 | train_time:242.76s | step_avg:4954.30ms
step:49/4768 | loss 7.021043 | train_time:246.94s | step_avg:4938.73ms
step:50/4768 | loss 6.952662 | train_time:251.11s | step_avg:4923.72ms
step:51/4768 | loss 6.955313 | train_time:255.28s | step_avg:4909.18ms
step:52/4768 | loss 6.951134 | train_time:259.45s | step_avg:4895.22ms
step:53/4768 | loss 6.909822 | train_time:263.62s | step_avg:4881.93ms
step:54/4768 | loss 6.898928 | train_time:267.80s | step_avg:4869.14ms
step:55/4768 | loss 6.836708 | train_time:271.99s | step_avg:4856.90ms
step:56/4768 | loss 6.802014 | train_time:276.17s | step_avg:4845.01ms
step:57/4768 | loss 6.848589 | train_time:280.33s | step_avg:4833.29ms
step:58/4768 | loss 6.747533 | train_time:284.50s | step_avg:4822.11ms
step:59/4768 | loss 6.773345 | train_time:288.68s | step_avg:4811.30ms
step:60/4768 | loss 6.761237 | train_time:292.85s | step_avg:4800.87ms
step:61/4768 | loss 6.709896 | train_time:297.03s | step_avg:4790.77ms
step:62/4768 | loss 6.691627 | train_time:301.20s | step_avg:4781.01ms
step:63/4768 | loss 6.747498 | train_time:305.38s | step_avg:4771.59ms
step:64/4768 | loss 6.636797 | train_time:309.56s | step_avg:4762.40ms
step:65/4768 | loss 6.669772 | train_time:313.73s | step_avg:4753.46ms
step:66/4768 | loss 6.658230 | train_time:317.91s | step_avg:4744.86ms
step:67/4768 | loss 6.697282 | train_time:322.08s | step_avg:4736.50ms
step:68/4768 | loss 6.632428 | train_time:326.25s | step_avg:4728.33ms
step:69/4768 | loss 6.625367 | train_time:330.43s | step_avg:4720.45ms
step:70/4768 | loss 6.567806 | train_time:334.61s | step_avg:4712.75ms
step:71/4768 | loss 6.567882 | train_time:338.78s | step_avg:4705.30ms
step:72/4768 | loss 6.569849 | train_time:342.96s | step_avg:4698.08ms
step:73/4768 | loss 6.537408 | train_time:347.14s | step_avg:4691.03ms
step:74/4768 | loss 6.547015 | train_time:351.32s | step_avg:4684.20ms
step:75/4768 | loss 6.504560 | train_time:355.49s | step_avg:4677.50ms
step:76/4768 | loss 6.564607 | train_time:359.67s | step_avg:4670.99ms
step:77/4768 | loss 6.529829 | train_time:363.84s | step_avg:4664.62ms
step:78/4768 | loss 6.275792 | train_time:368.01s | step_avg:4658.41ms
step:79/4768 | loss 6.443025 | train_time:372.19s | step_avg:4652.38ms
step:80/4768 | loss 6.413326 | train_time:376.37s | step_avg:4646.50ms
