Running pytorch 2.10.0+cu130
using device: cuda:0
tokens per iteration: 524,288
DataLoader: total number of tokens: 5,000,000,000 across 50 files
DataLoader: total number of tokens: 100,000,000 across 1 files
compiling the model...
step:0/4768 | val loss 11.036230
step:0/4768 | loss 11.036077 | train_time:42.49s | step_avg:42486.94ms
step:1/4768 | loss 10.909897 | train_time:46.63s | step_avg:23313.37ms
step:2/4768 | loss 10.681669 | train_time:50.78s | step_avg:16927.35ms
step:3/4768 | loss 10.393780 | train_time:54.94s | step_avg:13734.78ms
step:4/4768 | loss 10.145838 | train_time:59.11s | step_avg:11821.96ms
step:5/4768 | loss 9.911217 | train_time:63.30s | step_avg:10549.69ms
step:6/4768 | loss 9.762010 | train_time:67.47s | step_avg:9638.94ms
step:7/4768 | loss 9.600841 | train_time:71.64s | step_avg:8954.85ms
step:8/4768 | loss 9.560673 | train_time:75.80s | step_avg:8422.71ms
step:9/4768 | loss 9.448895 | train_time:79.97s | step_avg:7996.71ms
step:10/4768 | loss 9.395609 | train_time:84.14s | step_avg:7649.02ms
step:11/4768 | loss 9.336305 | train_time:88.32s | step_avg:7359.67ms
step:12/4768 | loss 9.240536 | train_time:92.49s | step_avg:7114.94ms
step:13/4768 | loss 9.135390 | train_time:96.67s | step_avg:6905.10ms
step:14/4768 | loss 9.076258 | train_time:100.85s | step_avg:6723.10ms
step:15/4768 | loss 8.985166 | train_time:105.03s | step_avg:6564.32ms
step:16/4768 | loss 8.910656 | train_time:109.21s | step_avg:6423.94ms
step:17/4768 | loss 8.800148 | train_time:113.39s | step_avg:6299.46ms
step:18/4768 | loss 8.762296 | train_time:117.55s | step_avg:6186.72ms
step:19/4768 | loss 8.623610 | train_time:121.68s | step_avg:6084.14ms
step:20/4768 | loss 8.543554 | train_time:125.86s | step_avg:5993.12ms
step:21/4768 | loss 8.476415 | train_time:130.03s | step_avg:5910.54ms
step:22/4768 | loss 8.308084 | train_time:134.22s | step_avg:5835.49ms
step:23/4768 | loss 8.265142 | train_time:138.39s | step_avg:5766.21ms
step:24/4768 | loss 8.141194 | train_time:142.56s | step_avg:5702.52ms
step:25/4768 | loss 8.090018 | train_time:146.73s | step_avg:5643.64ms
step:26/4768 | loss 8.004207 | train_time:150.90s | step_avg:5589.04ms
step:27/4768 | loss 7.889725 | train_time:155.08s | step_avg:5538.55ms
step:28/4768 | loss 7.861659 | train_time:159.26s | step_avg:5491.72ms
step:29/4768 | loss 7.787406 | train_time:163.44s | step_avg:5447.86ms
step:30/4768 | loss 7.728855 | train_time:167.63s | step_avg:5407.46ms
step:31/4768 | loss 7.600062 | train_time:171.81s | step_avg:5369.02ms
step:32/4768 | loss 7.552567 | train_time:175.99s | step_avg:5332.99ms
step:33/4768 | loss 7.493844 | train_time:180.17s | step_avg:5299.11ms
step:34/4768 | loss 7.504063 | train_time:184.34s | step_avg:5266.93ms
step:35/4768 | loss 7.415129 | train_time:188.52s | step_avg:5236.69ms
step:36/4768 | loss 7.376484 | train_time:192.71s | step_avg:5208.27ms
step:37/4768 | loss 7.304360 | train_time:196.88s | step_avg:5181.11ms
step:38/4768 | loss 7.322602 | train_time:201.07s | step_avg:5155.62ms
step:39/4768 | loss 7.245479 | train_time:205.24s | step_avg:5131.08ms
step:40/4768 | loss 7.233811 | train_time:209.43s | step_avg:5107.93ms
step:41/4768 | loss 7.168023 | train_time:213.61s | step_avg:5086.03ms
step:42/4768 | loss 7.212411 | train_time:217.80s | step_avg:5065.12ms
step:43/4768 | loss 7.115911 | train_time:221.99s | step_avg:5045.14ms
step:44/4768 | loss 7.090289 | train_time:226.16s | step_avg:5025.89ms
step:45/4768 | loss 7.088211 | train_time:230.34s | step_avg:5007.41ms
step:46/4768 | loss 7.073812 | train_time:234.53s | step_avg:4989.98ms
step:47/4768 | loss 7.074850 | train_time:238.71s | step_avg:4973.12ms
step:48/4768 | loss 7.083642 | train_time:242.89s | step_avg:4956.96ms
step:49/4768 | loss 7.008189 | train_time:247.07s | step_avg:4941.40ms
step:50/4768 | loss 6.989446 | train_time:251.24s | step_avg:4926.35ms
step:51/4768 | loss 6.958854 | train_time:255.42s | step_avg:4911.91ms
step:52/4768 | loss 6.991089 | train_time:259.60s | step_avg:4898.07ms
step:53/4768 | loss 6.943657 | train_time:263.78s | step_avg:4884.88ms
step:54/4768 | loss 6.910475 | train_time:267.97s | step_avg:4872.19ms
step:55/4768 | loss 6.846761 | train_time:272.15s | step_avg:4859.81ms
step:56/4768 | loss 6.812040 | train_time:276.33s | step_avg:4847.82ms
step:57/4768 | loss 6.841672 | train_time:280.50s | step_avg:4836.21ms
step:58/4768 | loss 6.759318 | train_time:284.68s | step_avg:4825.06ms
step:59/4768 | loss 6.776379 | train_time:288.86s | step_avg:4814.36ms
step:60/4768 | loss 6.755262 | train_time:293.05s | step_avg:4804.10ms
step:61/4768 | loss 6.719741 | train_time:297.23s | step_avg:4794.10ms
step:62/4768 | loss 6.696716 | train_time:301.43s | step_avg:4784.61ms
