Running pytorch 2.10.0+cu130
using device: cuda:0
tokens per iteration: 524,288
DataLoader: total number of tokens: 5,000,000,000 across 50 files
DataLoader: total number of tokens: 100,000,000 across 1 files
compiling the model...
step:0/4768 | val loss 10.997320
step:0/4768 | loss 10.995942 | train_time:41.30s | step_avg:41296.17ms
step:1/4768 | loss 10.849211 | train_time:45.44s | step_avg:22720.72ms
step:2/4768 | loss 10.585314 | train_time:49.58s | step_avg:16525.95ms
step:3/4768 | loss 10.282440 | train_time:53.72s | step_avg:13429.85ms
step:4/4768 | loss 10.048197 | train_time:57.87s | step_avg:11573.79ms
step:5/4768 | loss 9.849461 | train_time:62.02s | step_avg:10336.51ms
step:6/4768 | loss 9.715755 | train_time:66.17s | step_avg:9453.00ms
step:7/4768 | loss 9.566645 | train_time:70.33s | step_avg:8790.69ms
step:8/4768 | loss 9.528155 | train_time:74.48s | step_avg:8276.06ms
step:9/4768 | loss 9.426466 | train_time:78.65s | step_avg:7864.90ms
step:10/4768 | loss 9.382575 | train_time:82.80s | step_avg:7527.35ms
step:11/4768 | loss 9.324507 | train_time:86.96s | step_avg:7246.42ms
step:12/4768 | loss 9.231448 | train_time:91.11s | step_avg:7008.54ms
step:13/4768 | loss 9.130407 | train_time:95.27s | step_avg:6805.01ms
step:14/4768 | loss 9.066089 | train_time:99.43s | step_avg:6628.71ms
step:15/4768 | loss 8.972652 | train_time:103.59s | step_avg:6474.63ms
step:16/4768 | loss 8.894132 | train_time:107.77s | step_avg:6339.18ms
step:17/4768 | loss 8.800791 | train_time:111.93s | step_avg:6218.53ms
step:18/4768 | loss 8.745534 | train_time:116.10s | step_avg:6110.58ms
step:19/4768 | loss 8.609160 | train_time:120.26s | step_avg:6012.99ms
step:20/4768 | loss 8.525915 | train_time:124.42s | step_avg:5924.69ms
step:21/4768 | loss 8.454049 | train_time:128.58s | step_avg:5844.55ms
step:22/4768 | loss 8.294838 | train_time:132.74s | step_avg:5771.26ms
step:23/4768 | loss 8.251240 | train_time:136.90s | step_avg:5704.09ms
step:24/4768 | loss 8.118715 | train_time:141.06s | step_avg:5642.34ms
step:25/4768 | loss 8.067595 | train_time:145.22s | step_avg:5585.29ms
step:26/4768 | loss 7.976214 | train_time:149.39s | step_avg:5533.03ms
step:27/4768 | loss 7.859050 | train_time:153.56s | step_avg:5484.13ms
step:28/4768 | loss 7.838557 | train_time:157.72s | step_avg:5438.69ms
step:29/4768 | loss 7.779450 | train_time:161.90s | step_avg:5396.55ms
step:30/4768 | loss 7.701357 | train_time:166.07s | step_avg:5357.16ms
step:31/4768 | loss 7.570735 | train_time:170.25s | step_avg:5320.18ms
step:32/4768 | loss 7.536761 | train_time:174.42s | step_avg:5285.38ms
step:33/4768 | loss 7.473149 | train_time:178.58s | step_avg:5252.44ms
step:34/4768 | loss 7.490015 | train_time:182.74s | step_avg:5221.23ms
step:35/4768 | loss 7.390962 | train_time:186.90s | step_avg:5191.56ms
step:36/4768 | loss 7.358941 | train_time:191.05s | step_avg:5163.61ms
step:37/4768 | loss 7.291363 | train_time:195.22s | step_avg:5137.31ms
step:38/4768 | loss 7.308908 | train_time:199.38s | step_avg:5112.42ms
step:39/4768 | loss 7.230480 | train_time:203.56s | step_avg:5088.89ms
step:40/4768 | loss 7.221725 | train_time:207.73s | step_avg:5066.47ms
step:41/4768 | loss 7.161644 | train_time:211.90s | step_avg:5045.17ms
step:42/4768 | loss 7.229501 | train_time:216.09s | step_avg:5025.29ms
step:43/4768 | loss 7.119276 | train_time:220.26s | step_avg:5005.81ms
step:44/4768 | loss 7.132565 | train_time:224.42s | step_avg:4987.13ms
step:45/4768 | loss 7.140537 | train_time:228.60s | step_avg:4969.46ms
step:46/4768 | loss 7.140760 | train_time:232.77s | step_avg:4952.48ms
step:47/4768 | loss 7.126127 | train_time:236.93s | step_avg:4936.12ms
