Running pytorch 2.10.0+cu130
using device: cuda:0
tokens per iteration: 524,288
DataLoader: total number of tokens: 5,000,000,000 across 50 files
DataLoader: total number of tokens: 100,000,000 across 1 files
compiling the model...
step:0/4768 | val loss 11.033814
step:0/4768 | loss 11.032455 | train_time:42.95s | step_avg:42945.45ms
step:1/4768 | loss 10.886263 | train_time:47.08s | step_avg:23537.96ms
step:2/4768 | loss 10.614179 | train_time:51.23s | step_avg:17075.62ms
step:3/4768 | loss 10.323197 | train_time:55.39s | step_avg:13846.92ms
step:4/4768 | loss 10.091938 | train_time:59.55s | step_avg:11910.87ms
step:5/4768 | loss 9.889738 | train_time:63.72s | step_avg:10619.36ms
step:6/4768 | loss 9.748521 | train_time:67.87s | step_avg:9696.08ms
step:7/4768 | loss 9.604465 | train_time:72.03s | step_avg:9003.71ms
step:8/4768 | loss 9.562427 | train_time:76.19s | step_avg:8465.85ms
step:9/4768 | loss 9.462414 | train_time:80.36s | step_avg:8035.96ms
step:10/4768 | loss 9.412773 | train_time:84.52s | step_avg:7683.85ms
step:11/4768 | loss 9.358546 | train_time:88.69s | step_avg:7390.84ms
step:12/4768 | loss 9.254574 | train_time:92.85s | step_avg:7142.45ms
step:13/4768 | loss 9.160125 | train_time:97.01s | step_avg:6929.48ms
step:14/4768 | loss 9.094073 | train_time:101.17s | step_avg:6744.87ms
step:15/4768 | loss 9.012281 | train_time:105.33s | step_avg:6583.17ms
step:16/4768 | loss 8.935734 | train_time:109.50s | step_avg:6440.92ms
step:17/4768 | loss 8.839070 | train_time:113.67s | step_avg:6315.19ms
step:18/4768 | loss 8.784096 | train_time:117.84s | step_avg:6201.86ms
step:19/4768 | loss 8.646984 | train_time:122.00s | step_avg:6100.16ms
step:20/4768 | loss 8.556803 | train_time:126.17s | step_avg:6008.03ms
step:21/4768 | loss 8.482986 | train_time:130.34s | step_avg:5924.40ms
step:22/4768 | loss 8.315663 | train_time:134.50s | step_avg:5847.93ms
step:23/4768 | loss 8.272175 | train_time:138.67s | step_avg:5777.72ms
step:24/4768 | loss 8.142864 | train_time:142.81s | step_avg:5712.42ms
step:25/4768 | loss 8.092625 | train_time:146.95s | step_avg:5652.10ms
step:26/4768 | loss 8.000303 | train_time:151.12s | step_avg:5597.03ms
step:27/4768 | loss 7.894946 | train_time:155.28s | step_avg:5545.87ms
step:28/4768 | loss 7.880937 | train_time:159.45s | step_avg:5498.21ms
step:29/4768 | loss 7.795209 | train_time:163.61s | step_avg:5453.81ms
step:30/4768 | loss 7.746854 | train_time:167.79s | step_avg:5412.50ms
step:31/4768 | loss 7.605029 | train_time:171.96s | step_avg:5373.64ms
step:32/4768 | loss 7.577843 | train_time:176.13s | step_avg:5337.32ms
step:33/4768 | loss 7.494638 | train_time:180.30s | step_avg:5303.02ms
step:34/4768 | loss 7.523901 | train_time:184.47s | step_avg:5270.55ms
step:35/4768 | loss 7.418215 | train_time:188.64s | step_avg:5239.96ms
step:36/4768 | loss 7.388037 | train_time:192.81s | step_avg:5211.13ms
step:37/4768 | loss 7.316233 | train_time:196.99s | step_avg:5183.90ms
step:38/4768 | loss 7.330877 | train_time:201.16s | step_avg:5158.00ms
step:39/4768 | loss 7.262154 | train_time:205.34s | step_avg:5133.43ms
step:40/4768 | loss 7.259635 | train_time:209.51s | step_avg:5109.99ms
step:41/4768 | loss 7.188317 | train_time:213.69s | step_avg:5087.85ms
step:42/4768 | loss 7.225911 | train_time:217.87s | step_avg:5066.76ms
step:43/4768 | loss 7.140184 | train_time:222.04s | step_avg:5046.43ms
step:44/4768 | loss 7.114361 | train_time:226.21s | step_avg:5026.92ms
step:45/4768 | loss 7.108660 | train_time:230.39s | step_avg:5008.38ms
step:46/4768 | loss 7.093952 | train_time:234.56s | step_avg:4990.68ms
step:47/4768 | loss 7.103620 | train_time:238.73s | step_avg:4973.49ms
step:48/4768 | loss 7.098601 | train_time:242.89s | step_avg:4957.01ms
step:49/4768 | loss 7.080889 | train_time:247.07s | step_avg:4941.31ms
step:50/4768 | loss 6.981122 | train_time:251.25s | step_avg:4926.49ms
step:51/4768 | loss 6.995423 | train_time:255.42s | step_avg:4911.94ms
step:52/4768 | loss 6.977208 | train_time:259.59s | step_avg:4898.01ms
step:53/4768 | loss 6.951389 | train_time:263.77s | step_avg:4884.56ms
step:54/4768 | loss 6.934863 | train_time:267.94s | step_avg:4871.60ms
step:55/4768 | loss 6.863479 | train_time:272.11s | step_avg:4859.10ms
step:56/4768 | loss 6.824828 | train_time:276.29s | step_avg:4847.11ms
step:57/4768 | loss 6.857212 | train_time:280.46s | step_avg:4835.49ms
step:58/4768 | loss 6.770014 | train_time:284.64s | step_avg:4824.37ms
step:59/4768 | loss 6.791859 | train_time:288.81s | step_avg:4813.53ms
step:60/4768 | loss 6.772793 | train_time:292.98s | step_avg:4803.02ms
step:61/4768 | loss 6.738793 | train_time:297.16s | step_avg:4792.84ms
step:62/4768 | loss 6.724495 | train_time:301.33s | step_avg:4783.00ms
step:63/4768 | loss 6.791297 | train_time:305.50s | step_avg:4773.48ms
step:64/4768 | loss 6.674924 | train_time:309.67s | step_avg:4764.19ms
step:65/4768 | loss 6.689482 | train_time:313.85s | step_avg:4755.23ms
step:66/4768 | loss 6.688271 | train_time:318.04s | step_avg:4746.81ms
step:67/4768 | loss 6.721044 | train_time:322.21s | step_avg:4738.37ms
step:68/4768 | loss 6.653467 | train_time:326.38s | step_avg:4730.20ms
step:69/4768 | loss 6.636892 | train_time:330.56s | step_avg:4722.23ms
step:70/4768 | loss 6.600747 | train_time:334.73s | step_avg:4714.53ms
step:71/4768 | loss 6.593508 | train_time:338.89s | step_avg:4706.86ms
step:72/4768 | loss 6.604171 | train_time:343.06s | step_avg:4699.43ms
step:73/4768 | loss 6.554840 | train_time:347.23s | step_avg:4692.35ms
step:74/4768 | loss 6.569786 | train_time:351.43s | step_avg:4685.68ms
step:75/4768 | loss 6.520006 | train_time:355.60s | step_avg:4678.91ms
step:76/4768 | loss 6.591408 | train_time:359.77s | step_avg:4672.32ms
step:77/4768 | loss 6.537628 | train_time:363.95s | step_avg:4665.97ms
step:78/4768 | loss 6.286932 | train_time:368.12s | step_avg:4659.73ms
step:79/4768 | loss 6.465238 | train_time:372.29s | step_avg:4653.66ms
step:80/4768 | loss 6.425943 | train_time:376.47s | step_avg:4647.79ms
step:81/4768 | loss 6.531448 | train_time:380.65s | step_avg:4642.03ms
step:82/4768 | loss 6.475913 | train_time:384.83s | step_avg:4636.48ms
step:83/4768 | loss 6.446904 | train_time:389.01s | step_avg:4631.09ms
step:84/4768 | loss 6.434069 | train_time:393.19s | step_avg:4625.72ms
step:85/4768 | loss 6.412789 | train_time:397.36s | step_avg:4620.46ms
step:86/4768 | loss 6.395325 | train_time:401.53s | step_avg:4615.34ms
step:87/4768 | loss 6.372265 | train_time:405.72s | step_avg:4610.40ms
step:88/4768 | loss 6.376939 | train_time:409.89s | step_avg:4605.50ms
step:89/4768 | loss 6.327977 | train_time:414.06s | step_avg:4600.70ms
step:90/4768 | loss 6.364857 | train_time:418.24s | step_avg:4596.02ms
step:91/4768 | loss 6.363891 | train_time:422.42s | step_avg:4591.56ms
step:92/4768 | loss 6.373193 | train_time:426.60s | step_avg:4587.06ms
step:93/4768 | loss 6.320724 | train_time:430.77s | step_avg:4582.66ms
step:94/4768 | loss 6.283376 | train_time:434.94s | step_avg:4578.36ms
step:95/4768 | loss 6.228449 | train_time:439.12s | step_avg:4574.18ms
step:96/4768 | loss 6.340461 | train_time:443.30s | step_avg:4570.12ms
step:97/4768 | loss 6.302366 | train_time:447.48s | step_avg:4566.12ms
step:98/4768 | loss 6.289351 | train_time:451.65s | step_avg:4562.17ms
step:99/4768 | loss 6.229949 | train_time:455.83s | step_avg:4558.29ms
step:100/4768 | loss 6.263079 | train_time:460.01s | step_avg:4554.58ms
step:101/4768 | loss 6.186913 | train_time:464.19s | step_avg:4550.85ms
step:102/4768 | loss 6.195195 | train_time:468.36s | step_avg:4547.18ms
step:103/4768 | loss 6.192549 | train_time:472.55s | step_avg:4543.72ms
step:104/4768 | loss 6.199021 | train_time:476.72s | step_avg:4540.21ms
step:105/4768 | loss 6.259803 | train_time:480.90s | step_avg:4536.75ms
step:106/4768 | loss 6.198482 | train_time:485.07s | step_avg:4533.40ms
step:107/4768 | loss 6.143690 | train_time:489.26s | step_avg:4530.20ms
step:108/4768 | loss 6.185867 | train_time:493.44s | step_avg:4526.95ms
step:109/4768 | loss 6.224661 | train_time:497.62s | step_avg:4523.78ms
step:110/4768 | loss 6.139710 | train_time:501.80s | step_avg:4520.73ms
step:111/4768 | loss 6.173792 | train_time:505.99s | step_avg:4517.75ms
step:112/4768 | loss 6.236315 | train_time:510.17s | step_avg:4514.81ms
step:113/4768 | loss 6.207386 | train_time:514.35s | step_avg:4511.86ms
step:114/4768 | loss 6.221996 | train_time:518.53s | step_avg:4508.94ms
step:115/4768 | loss 6.166169 | train_time:522.72s | step_avg:4506.20ms
step:116/4768 | loss 6.137713 | train_time:526.90s | step_avg:4503.42ms
step:117/4768 | loss 6.097019 | train_time:531.07s | step_avg:4500.63ms
step:118/4768 | loss 6.136244 | train_time:535.25s | step_avg:4497.90ms
step:119/4768 | loss 6.078831 | train_time:539.44s | step_avg:4495.32ms
step:120/4768 | loss 6.085014 | train_time:543.62s | step_avg:4492.76ms
step:121/4768 | loss 6.023570 | train_time:547.80s | step_avg:4490.15ms
step:122/4768 | loss 6.120327 | train_time:551.97s | step_avg:4487.60ms
step:123/4768 | loss 6.032103 | train_time:556.16s | step_avg:4485.13ms
step:124/4768 | loss 6.014911 | train_time:560.35s | step_avg:4482.77ms
step:125/4768 | loss 5.983222 | train_time:564.53s | step_avg:4480.40ms
step:126/4768 | loss 6.080887 | train_time:568.71s | step_avg:4478.06ms
step:127/4768 | loss 5.979012 | train_time:572.90s | step_avg:4475.79ms
step:128/4768 | val loss 6.036353
step:128/4768 | loss 6.039941 | train_time:577.10s | step_avg:4473.65ms
step:129/4768 | loss 5.994260 | train_time:581.29s | step_avg:4471.45ms
step:130/4768 | loss 6.029960 | train_time:585.48s | step_avg:4469.33ms
step:131/4768 | loss 5.965436 | train_time:589.66s | step_avg:4467.12ms
step:132/4768 | loss 5.905110 | train_time:593.85s | step_avg:4465.02ms
step:133/4768 | loss 5.948939 | train_time:598.03s | step_avg:4462.91ms
step:134/4768 | loss 5.943020 | train_time:602.21s | step_avg:4460.80ms
step:135/4768 | loss 5.849488 | train_time:606.38s | step_avg:4458.68ms
step:136/4768 | loss 5.900921 | train_time:610.56s | step_avg:4456.66ms
step:137/4768 | loss 5.911498 | train_time:614.74s | step_avg:4454.66ms
step:138/4768 | loss 5.924816 | train_time:618.94s | step_avg:4452.83ms
step:139/4768 | loss 5.960941 | train_time:623.13s | step_avg:4450.95ms
step:140/4768 | loss 5.876718 | train_time:627.33s | step_avg:4449.12ms
step:141/4768 | loss 5.961325 | train_time:631.51s | step_avg:4447.26ms
step:142/4768 | loss 5.913503 | train_time:635.69s | step_avg:4445.37ms
step:143/4768 | loss 5.920717 | train_time:639.87s | step_avg:4443.55ms
step:144/4768 | loss 5.878394 | train_time:644.05s | step_avg:4441.73ms
step:145/4768 | loss 5.801816 | train_time:648.22s | step_avg:4439.89ms
step:146/4768 | loss 5.805661 | train_time:652.42s | step_avg:4438.26ms
step:147/4768 | loss 5.859011 | train_time:656.60s | step_avg:4436.52ms
step:148/4768 | loss 5.866272 | train_time:660.79s | step_avg:4434.84ms
step:149/4768 | loss 5.817927 | train_time:664.98s | step_avg:4433.18ms
step:150/4768 | loss 5.805624 | train_time:669.16s | step_avg:4431.50ms
step:151/4768 | loss 5.719297 | train_time:673.34s | step_avg:4429.85ms
step:152/4768 | loss 5.760953 | train_time:677.51s | step_avg:4428.18ms
