s:0 val:10.979364
s:128 val:6.112232
s:256 val:5.268234
s:384 val:4.645597
s:512 val:4.279518
s:640 val:4.113665
s:768 val:4.018439
s:896 val:3.944853
s:1024 val:3.895234
s:1152 val:3.841191
s:1280 val:3.802624
s:1408 val:3.764652
s:1536 val:3.735147
s:1664 val:3.709038
s:1792 val:3.697293
s:1920 val:3.668658
s:2048 val:3.655312
s:2176 val:3.638969
s:2304 val:3.624795
s:2432 val:3.618590
s:2560 val:3.607678
s:2688 val:3.604414
s:2816 val:3.585453
s:2944 val:3.580920
s:3072 val:3.571445
s:3200 val:3.555017
s:3328 val:3.557241
s:3456 val:3.559710
s:3584 val:3.538685
s:3712 val:3.537718
s:3840 val:3.529668
s:3968 val:3.538699
s:4096 val:3.524043
s:4224 val:3.520801
s:4352 val:3.495734
s:4480 val:3.456627
s:4608 val:3.406113
s:4736 val:3.369543
s:4768 val:3.401640
