s:0 val:11.006235
s:128 val:6.248504
s:256 val:5.365821
s:384 val:4.744808
s:512 val:4.324079
s:640 val:4.130296
s:768 val:4.028316
s:896 val:3.949236
s:1024 val:3.897406
s:1152 val:3.849052
s:1280 val:3.805825
s:1408 val:3.769368
s:1536 val:3.738262
s:1664 val:3.708277
s:1792 val:3.689004
s:1920 val:3.667151
s:2048 val:3.655945
s:2176 val:3.634481
s:2304 val:3.618152
s:2432 val:3.615393
s:2560 val:3.609874
s:2688 val:3.606144
s:2816 val:3.581923
s:2944 val:3.575177
s:3072 val:3.566681
s:3200 val:3.549611
s:3328 val:3.550048
s:3456 val:3.545164
s:3584 val:3.534261
s:3712 val:3.530017
s:3840 val:3.518892
s:3968 val:3.495785
s:4096 val:3.465490
s:4224 val:3.437420
s:4352 val:3.412072
s:4480 val:3.383202
s:4608 val:3.355201
s:4736 val:3.337871
s:4768 val:3.390766
