s:128 val:6.186168
s:256 val:5.286205
s:384 val:4.630683
s:512 val:4.276964
s:640 val:4.089622
s:768 val:3.985801
s:896 val:3.919363
s:1024 val:3.866242
s:1152 val:3.820562
s:1280 val:3.770465
s:1408 val:3.731973
s:1536 val:3.701289
s:1664 val:3.675496
s:1792 val:3.665565
s:1920 val:3.638945
s:2048 val:3.623556
s:2176 val:3.593129
s:2304 val:3.584492
s:2432 val:3.582295
s:2560 val:3.570140
s:2688 val:3.571456
s:2816 val:3.545578
s:2944 val:3.546274
s:3072 val:3.531177
s:3200 val:3.511935
s:3328 val:3.514865
s:3456 val:3.524314
s:3584 val:3.507129
s:3712 val:3.501340
s:3840 val:3.472492
s:3968 val:3.462284
s:4096 val:3.427993
s:4224 val:3.400801
s:4352 val:3.373223
s:4480 val:3.350611
s:4608 val:3.325181
s:4736 val:3.306783
s:4768 val:3.385533
